3831485;19.00
3831515;21.18
3831543;23.05
3831573;24.82
3831603;26.14
3831632;28.35
3831662;29.77
3831692;31.90
3831721;32.69
3831751;33.08
3831781;33.37
3831811;33.73
3831840;34.90
3831871;34.90
3831901;35.16
3831930;35.09
3831961;35.83
3831991;36.17
3832020;36.05
3832050;36.77
3832081;37.08
3832111;37.34
3832141;36.67
3832171;37.90
3832201;37.80
3832231;38.81
3832261;37.99
3832292;36.63
3832322;37.68
3832351;37.35
3832382;36.07
3832412;36.07
3832441;36.17
3832472;35.76
3832502;34.49
3832531;35.45
3832561;33.73
3832591;34.28
3832622;33.92
3832651;33.53
3832681;33.12
3832711;32.33
3832740;32.31
3832770;32.00
3832800;31.14
3832829;31.14
3832859;30.34
3832889;30.30
3832919;29.46
