474701,53.18,1048,-16472,456
474742,52.77,952,-16576,492
474781,53.20,1132,-16524,424
474821,53.20,1052,-16596,480
474862,52.79,872,-16504,680
474901,52.77,868,-16560,440
474940,52.75,968,-16500,668
474979,53.20,972,-16548,516
475019,52.75,988,-16424,456
475058,53.59,964,-16496,432
475097,53.61,1072,-16460,636
475137,43.84,892,-16508,340
475176,53.10,952,-16420,572
475215,52.75,916,-16496,628
475254,53.61,912,-16488,548
475293,53.20,1072,-16444,428
475334,52.80,1080,-16368,292
475374,53.20,1172,-16460,320
475414,52.77,1056,-16468,528
475455,52.77,936,-16532,464
475494,52.31,1004,-16404,460
475534,52.75,1004,-16568,516
475575,52.77,960,-16448,552
475614,53.63,960,-16532,504
475652,24.47,1000,-16524,560
475692,52.36,1016,-16472,456
475731,52.77,988,-16456,488
475771,52.38,960,-16528,436
475810,52.77,924,-16536,524
475849,52.36,932,-16596,512
475888,52.79,988,-16612,356
475928,52.79,1016,-16508,516
475968,52.36,1036,-16448,544
476008,53.63,920,-16560,464
476048,53.20,876,-16516,424
476087,52.77,1060,-16556,520
476127,52.79,992,-16460,380
476167,52.79,1040,-16600,444
