1145413,2.76,-15220,1484,5916
1145452,2.66,-15148,1448,5896
1145490,2.78,-15028,1528,6012
1145529,2.66,-15036,1356,5980
1145567,2.76,-15192,1464,6024
1145606,2.76,-15176,1476,5744
1145644,2.76,-15280,1604,5808
1145682,3.17,-15280,1580,5776
1145720,3.22,-15004,1588,5952
1145759,3.22,-14924,1484,6156
1145798,3.17,-14988,1476,5976
1145836,3.28,-15152,1468,5988
1145875,3.28,-15288,1572,5772
1145913,2.88,-15752,60,5772
1145950,2.86,-20632,-16524,5048
1145990,3.58,-3340,-1328,2856
1146029,3.09,-16932,3572,6796
1146066,3.64,-13780,2264,5500
1146105,3.38,-16608,2504,5216
1146144,4.00,-17396,3068,6148
1146182,4.51,-13940,2160,5976
1146221,4.80,-13236,1848,6764
1146260,4.85,-13900,1620,7136
1146298,4.87,-13788,1792,6536
1146337,4.66,-14764,1852,5956
1146376,3.82,-16020,1936,5504
1146414,4.15,-15648,2248,5808
1146452,3.53,-15352,1536,6104
1146490,3.43,-15516,-7892,5468
1146530,3.84,-16488,-16556,5860
1146571,3.74,-12176,-7104,7440
1146610,3.33,-13484,-40,6952
1146648,3.07,-17544,2680,5140
1146686,3.02,-18520,3432,3356
1146725,3.17,-16432,3528,4080
1146763,3.43,-14972,2868,5876
1146802,3.64,-12820,1380,7352
1146841,3.94,-12460,-268,8108
1146878,3.43,-14168,-224,7624
1146917,3.04,-16044,772,6216
1146954,2.71,-16968,2068,5176
1146993,2.57,-17720,1628,4696
1147031,2.61,-16412,1732,5564
1147070,2.71,-14028,3016,6912
1147108,2.71,-14044,1908,7324
1147147,2.50,-15608,1644,5896
1147185,2.86,-16684,2312,4584
1147224,2.57,-17188,2184,4032
