1200358,2.76,-15040,1472,5948
1200397,2.78,-15120,1436,5884
1200435,3.22,-15176,1460,5940
1200474,2.81,-15184,1520,5872
1200512,2.81,-15180,1528,5896
1200550,2.81,-15064,1480,5924
1200588,3.17,-15676,-3432,6000
1200628,2.97,-20520,-14868,3412
1200669,3.07,-11068,-512,6304
1200707,2.97,-18904,308,6468
1200745,3.07,-19140,2520,6344
1200783,3.38,-14616,2392,4884
1200822,3.79,-16716,2396,5940
1200861,4.10,-14128,2200,6820
1200899,4.87,-13268,1400,7096
1200937,4.90,-13380,1812,6864
1200976,4.25,-14484,1684,6136
1201014,4.15,-15392,2156,5316
1201053,3.89,-15172,2440,5208
1201091,4.10,-15388,1928,6080
1201130,3.53,-15960,-1144,6900
1201170,3.74,-16168,-10260,5396
1201210,3.82,-16384,-14052,5036
1201251,3.38,-15144,-4572,8556
1201291,3.17,-12244,3328,6096
1201329,3.12,-16000,3528,5024
1201368,3.12,-16948,3532,4560
1201405,3.33,-16376,2952,4856
1201444,3.48,-14012,2152,5928
1201482,3.58,-12912,748,7864
1201520,3.53,-12996,236,8024
1201557,3.12,-14052,860,6680
1201595,2.86,-16180,1104,6136
1201634,2.50,-17160,2280,5000
1201672,2.56,-17088,2356,5092
1201711,2.50,-15976,1784,5816
1201748,2.68,-14928,708,6844
1201786,2.62,-13892,628,6936
1201823,2.68,-14972,1348,6556
1201862,2.45,-16108,2092,5248
1201900,2.61,-16740,2272,4256
1201939,2.71,-16440,1944,4332
1201977,2.97,-15744,1476,5188
1202016,3.22,-14360,916,6204
1202053,3.38,-13468,608,6508
1202091,3.33,-13960,812,6320
1202127,3.17,-15492,1464,5456
1202166,3.02,-16504,2044,4700
1202204,2.92,-16564,2128,4280
1202243,2.92,-16052,1856,5080
1202282,2.92,-15048,1256,6340
1202320,3.07,-14280,956,7032
1202358,2.92,-14240,1188,6940
1202396,3.33,-15484,1764,6060
1202435,2.86,-16484,2380,5384
