4084982;20.72
4085012;23.00
4085042;24.30
4085070;26.12
4085100;27.77
4085130;29.58
4085159;31.71
4085189;33.36
4085219;33.89
4085250;33.43
4085279;34.04
4085309;34.85
4085339;35.36
4085369;35.65
4085399;35.00
4085429;36.22
4085458;36.67
4085489;37.88
4085519;37.46
4085550;37.73
4085579;38.19
4085610;38.43
4085640;38.35
4085669;37.71
4085700;37.56
4085730;37.28
4085761;37.32
4085790;36.67
4085820;36.74
4085851;36.05
4085880;35.76
4085910;35.52
4085940;35.65
4085970;35.00
4086000;34.80
4086030;34.90
4086060;34.28
4086089;34.49
