445165,161.81,16912,216,1340
445211,162.24,16956,280,1328
445258,160.99,16872,212,1328
445305,160.88,16912,152,1388
445351,161.42,17028,224,1264
445399,162.68,16964,176,1416
445435,0.05,16896,164,1352
445470,0.05,16828,100,1316
445506,0.05,16756,196,1296
445541,0.05,16988,192,1184
445576,0.07,16904,176,1272
445612,13.69,16876,220,1168
445658,161.74,16968,144,1308
445701,108.59,16980,140,1232
445741,46.97,16872,264,1508
445787,161.84,17008,216,1260
445824,0.05,16892,252,1388
445869,162.15,17048,236,1128
445911,87.52,16856,200,1364
445957,161.74,16924,212,1404
445993,7.51,16964,196,1312
446038,152.96,17024,232,1264
446075,0.05,16756,148,1288
446110,0.05,16856,108,1080
446154,161.43,16912,140,1224
446201,163.13,16904,148,1232
446238,0.05,16988,260,1256
446274,0.07,16940,204,1360
