925888,2.81,-15148,1540,5876
925925,3.22,-15188,1588,5868
925963,3.28,-15076,1532,5984
926000,2.86,-15144,1508,5912
926038,2.86,-14988,1416,5956
926074,2.86,-15060,1484,5916
926112,2.86,-15064,1540,5908
926149,3.28,-15220,1564,5896
926187,3.28,-15236,1512,5940
926224,2.86,-15112,1476,5972
926262,2.86,-15044,1480,5984
926299,3.28,-10240,-8220,5688
926338,2.97,-15356,-10120,3192
926376,3.38,-13076,2396,6796
926414,3.28,-12508,2792,4920
926451,2.98,-19428,2660,6132
926489,3.17,-14700,2236,5064
926526,3.53,-14784,2148,5872
926564,4.20,-14268,1792,7356
926602,3.84,-13196,1668,6920
926639,3.94,-13704,1852,6552
926676,3.69,-14728,1836,5764
926713,3.64,-15640,2212,5476
926751,3.43,-15656,2248,5624
926788,3.43,-15004,1988,5924
926826,3.79,-14344,1528,6828
926863,3.69,-15896,-3304,7436
926902,3.69,-18784,-9664,8280
926940,3.64,-15480,-9428,6456
926979,3.07,-13956,-2188,7384
927016,2.86,-15932,2436,5476
927054,2.81,-16272,2644,5112
927091,2.86,-16668,2940,4896
927129,3.07,-15564,2764,5576
927166,3.22,-13764,1480,6564
927204,3.28,-13048,672,7404
927240,3.12,-13924,696,7532
927277,2.93,-15304,1064,6444
927313,2.71,-16004,1856,5480
927351,2.62,-16172,2376,5000
927388,2.56,-16052,2148,5212
927426,2.57,-15292,1480,6148
927463,2.76,-14144,1276,6872
927501,3.14,-14448,864,6860
927537,2.78,-14972,1344,6248
927574,2.76,-15956,1788,5352
927611,2.83,-16360,1888,4848
927648,2.97,-16008,1840,5072
927686,3.17,-15380,1452,5536
927723,3.38,-14468,916,6188
927760,3.48,-13988,920,6500
927796,3.50,-14176,1072,6168
927834,3.43,-15332,1468,5620
927870,3.74,-15940,1688,5116
927908,3.69,-15860,1940,4884
927945,3.28,-15408,1604,5368
927983,3.74,-14944,1200,6180
928020,3.74,-14408,1164,6644
928058,3.58,-14436,1172,6612
928095,2.92,-15180,1612,6000
928133,2.86,-16004,2120,5472
928169,3.22,-16284,2252,5256
928207,3.24,-15824,1872,5980
928244,2.92,-14772,1920,6260
928282,3.02,-13268,1520,6716
928319,3.04,-14624,976,7220
928356,2.97,-13976,1176,6476
928393,2.86,-16592,1400,6656
928431,2.81,-15564,1788,5484
928467,2.78,-15764,1848,5620
928505,2.83,-15312,1760,5980
928542,2.81,-15140,1312,6276
