496034,0.07,1376,40,17292
496068,0.05,1372,144,17272
496104,23.41,1412,108,17240
496142,23.00,1376,64,17224
496178,22.98,1420,24,17348
496215,23.39,1492,64,17156
496249,0.05,1416,-84,17176
496284,0.07,1420,156,17420
496320,0.07,1448,68,17308
496354,0.05,1464,12,17292
496388,0.07,1384,72,17288
496422,23.41,1308,-20,17292
496459,0.05,1340,52,17352
496494,23.41,1388,72,17312
496529,0.07,1412,4,17240
496562,0.05,1372,-4,17316
496596,0.07,1464,20,17340
496631,23.41,1400,32,17300
496668,23.31,1344,108,17268
496704,0.05,1432,100,17260
496740,23.39,1444,52,17344
496777,23.39,1460,180,17232
496815,23.31,1308,180,17220
496850,0.05,1420,76,17356
496884,0.07,1448,44,17232
496918,0.05,1340,12,17240
496954,23.26,1380,48,17208
496990,23.43,1528,28,17412
497027,23.39,1512,36,17256
497061,0.05,1412,88,17388
497095,0.07,1340,96,17208
497129,0.05,1428,124,17276
497165,0.07,1476,20,17312
497200,23.36,1420,28,17176
497236,23.31,1388,36,17236
497272,22.96,1408,8,17400
497306,0.05,1416,180,17268
497342,0.05,1480,52,17288
497376,0.05,1352,32,17228
497410,0.07,1400,-40,17200
